college_img,college_name,college_course,college_loc,college_fees,AllIndia,Open,Minority
"https://images.static-collegedunia.com/public/college_data/images/appImage/_LAW1.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Shobhaben Pratapbhai Patel School of Pharmacy & Technology Management - [SPPSPTM], Mumbai",B.Pharm ,"Mumbai, Maharashtra","4,02,000",43.32,,
"https://images.static-collegedunia.com/public/college_data/images/appImage/10193_building.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Y. B. Chavan College of Pharmacy, Aurangabad",B.Pharm ,"Aurangabad, Maharashtra","1,30,000",40.54,,
"https://images.static-collegedunia.com/public/college_data/images/appImage/9808_RCPIPER_New.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","RC Patel Institute of Pharmacutical Education and Research - [RCPIPER], Dhule",B.Pharm ,"Dhule, Maharashtra","1,00,000",43.34,,
"https://images.static-collegedunia.com/public/college_data/images/appImage/9763_PDDY_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr. D.Y. Patil Institute of Pharmaceutical Sciences and Research - [DYPIPSR] Pimpri, Pune",B.Pharm ,"Pune, Maharashtra","1,30,000",48.27,,
"https://images.static-collegedunia.com/public/college_data/images/appImage/9305_bharti_new.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Bharati Vidyapeeth College of Pharmacy - [BVCOP], Kolhapur",B.Pharm ,"Kolhapur, Maharashtra","1,48,292",43.74,,
"https://images.static-collegedunia.com/public/college_data/images/appImage/10025_SKBCP_New.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Smt Kishoritai Bhoyar College of Pharmacy, Nagpur",B.Pharm ,"Nagpur, Maharashtra","1,24,000",44.91,,
"https://images.static-collegedunia.com/public/college_data/images/appImage/9579_Untitled.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Principal K.M. Kundnani College of Pharmacy - [KMKCP], Mumbai",B.Pharm ,"Mumbai, Maharashtra","18,210",40.22,,
"https://images.static-collegedunia.com/public/college_data/images/appImage/_e2n1ytggjhnyk2ehartl.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Maeer's Maharashtra Institute of Pharmacy - [MIP], Pune",B.Pharm ,"Pune, Maharashtra","2,61,758",49.32,,
"https://images.static-collegedunia.com/public/college_data/images/appImage/_11136651_346707688872453_7801850492282602340_n.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","VES College of Pharmacy - [VESCOP], Mumbai",B.Pharm ,"Mumbai, Maharashtra","1,81,208",51.34,,
"https://images.static-collegedunia.com/public/college_data/images/appImage/1568030777m1.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","MVP Samaj's College of Pharmacy, Nashik",B.Pharm ,"Nashik, Maharashtra","90,000",41.1,,
"https://images.static-collegedunia.com/public/college_data/images/appImage/9696_MODERNCOL_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Modern College of Pharmacy Nigdi, Pune",B.Pharm ,"Pune, Maharashtra","1,15,000",40.92,,
"https://images.static-collegedunia.com/public/college_data/images/appImage/1504593097ccccccccccccaaaaaaaaaaammmmmmmmmm.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Savitribai Phule Pune University - [SPPU], Pune",B.Pharm ,"Pune, Maharashtra",,40.56,,
"https://images.static-collegedunia.com/public/college_data/images/appImage/25718_1464177439b8xxd0nb9irvkgv8dhgu.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","DY Patil University, Navi Mumbai",B.Pharm ,"Mumbai, Maharashtra","3,00,000",40.58,,
"https://images.static-collegedunia.com/public/college_data/images/appImage/16147721421.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Narsee Monjee Institute of Management Studies - [NMIMS Deemed to be University], Mumbai",B.Pharm ,"Mumbai, Maharashtra","4,02,000",43.1,,
