college img,college name,college loc,college course,college fees,Open,AllIndia,Minority
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4616/2018/5/18/Dr-DY-Patil-Institute-Campus-View-2.png,"Dr DY Patil Institute of Engineering and Technology, Ambi, Pune","Pune, Maharashtra",BE Computer Engineering,292 000,83.71,74.56,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3456/2018/9/27/Campus,"RC Patel Institute of Technology, Shirpur","Shirpur, Maharashtra",BE Computer Engineering,,82.83,75.68,22.31
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3422/2019/3/30/Campus,"Rajarshi Shahu College of Engineering, Tathawade","Pimpri-Chinchwad, Maharashtra",B.Tech Computer Engineering,,95.96,91.75,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4181/2020/9/2/Campus,"International Institute of Information Technology, Pune","Pimpri-Chinchwad, Maharashtra",BE Computer Engineering,448 000,85.33,81.63,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1112/2018/10/3/Building,"SNDT Womens University, Mumbai","Mumbai, Maharashtra",B.Tech Computer Science and Engineering,,75.67,69.83,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2581/2018/7/31/Yeshwantrao-Chavan-College-of-Engineering-Nagpur-Campus-view.jpg,YCCE Nagpur - Yeshwantrao Chavan College of Engineering,"Nagpur, Maharashtra",BE Computer Science and Engineering,607 204,95.63,90.85,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4610/2019/4/2/Campus,"Datta Meghe College of Engineering, Navi Mumbai","Navi Mumbai, Maharashtra",BE Computer Engineering,402 672,93.4,85.08,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2736/2018/10/27/campus,"Usha Mittal Institute of Technology, Mumbai","Mumbai, Maharashtra",B.Tech Computer Engineering,465 180,86.32,78.96,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3533/2020/9/4/Campu-View,"Pillai College of Engineering, New Panvel","Panvel, Maharashtra  FeesCutoff",BE Computer Engineering,503 020,92.95,89.26,2.11
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4021/2018/8/24/KE-Societys-Rajarambapu-Institute-of-Technology-Sangli2.png,"KE Society's Rajarambapu Institute of Technology, Sangli","Uran Islampur, Maharashtra",B.Tech Computer Engineering,567 180,94.55,84.78,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2540/2018/10/29/Campus,"SIES Graduate School of Technology, Navi Mumbai","Navi Mumbai, Maharashtra",B.Tech Computer Engineering,,86.36,81.39,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1984/2018/9/24/Front,"MGM's College of Engineering, Nanded","Nanded, Maharashtra",B.Tech Computer Science and Engineering,413 400,85.45,81.82,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/25397/2020/2/6/Entrance,"DY Patil International University, Akurdi","Pune, Maharashtra  Fees",B.Tech Computer Science and Engineering,798 000,96.09,93.77,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1958/2018/10/8/Campus,"St John College of Engineering and Management, Palghar","Palghar, Maharashtra",BE Computer Engineering,385 615,35.75,67.87,1.54
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1975/2018/7/25/Padmabhooshan-Vasantraodada-Patil-Institute-of-Technology-Sangli-Hostel.jpg,PVPIT Budhgaon - Padmabhooshan Vasantraodada Patil Institute of Technology,"Sangli, Maharashtra",B.Tech Computer Science and Engineering,342 876,86.21,84.07,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4803/2018/11/3/Campus,"Bharati Vidyapeeth College of Engineering, Navi Mumbai","Navi Mumbai, Maharashtra",BE Computer Engineering,,91.96,89.58,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3669/2019/3/25/College,"NDMVP Samaj's Karmaveer Adv Baburao Ganpatrao Thakare College of Engineering, Nashik","Nashik, Maharashtra",BE Computer Engineering,,93.99,80.53,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1985/2018/10/11/Campus,"MCTs Rajiv Gandhi Institute of Technology, Mumbai","Mumbai, Maharashtra",BE Computer Engineering,435 604,95.76,92.31,0
